$
HA=1,HC=826617,HB=3485,HD=20210809,HI=104425,HO=,HM=71,IS=XPLOG GeoTech AB 20161104,IK=1.0,HK=21s07,HQ=Johan,CH0=25,CH1=6,CH2=100,CH3=10000,CH4=25,CH5=25
#
D=2.175,A=1.707,W=1.707,AK=104953,AKZ=1535,B=108.0,C=1.9,R=0,P=0.235,PR=0.000,SP=0.098
D=2.200,A=1.727,W=1.727,AK=104953,AKZ=1537,B=106.7,C=1.9,R=0,P=0.246,PR=0.000,SP=0.108
D=2.225,A=1.627,W=1.627,AK=104953,AKZ=1539,B=107.6,C=1.9,R=0,P=0.197,PR=0.000,SP=0.117
D=2.250,A=1.577,W=1.577,AK=104953,AKZ=1541,B=108.5,C=1.8,R=0,P=0.201,PR=0.000,SP=0.130
D=2.275,A=1.577,W=1.577,AK=104954,AKZ=1543,B=112.9,C=1.8,R=0,P=0.202,PR=0.000,SP=0.159
D=2.300,A=1.427,W=1.427,AK=104954,AKZ=1545,B=114.7,C=1.7,R=0,P=0.217,PR=0.000,SP=0.154
D=2.325,A=1.277,W=1.277,AK=104954,AKZ=1547,B=115.0,C=1.7,R=0,P=0.210,PR=0.000,SP=0.155
D=2.350,A=1.117,W=1.117,AK=104954,AKZ=1549,B=115.2,C=1.7,R=0,P=0.220,PR=0.000,SP=0.135
D=2.375,A=1.027,W=1.027,AK=104955,AKZ=1551,B=115.8,C=1.7,R=0,P=0.224,PR=0.000,SP=0.145
D=2.400,A=0.987,W=0.987,AK=104955,AKZ=1553,B=115.6,C=1.7,R=0,P=0.238,PR=0.000,SP=0.121
D=2.425,A=0.927,W=0.927,AK=104955,AKZ=1555,B=116.1,C=1.7,R=0,P=0.202,PR=0.000,SP=0.170
D=2.450,A=0.907,W=0.907,AK=104955,AKZ=1557,B=116.5,C=1.7,R=0,P=0.186,PR=0.000,SP=0.130
D=2.475,A=0.957,W=0.957,AK=104955,AKZ=1559,B=115.6,C=1.7,R=0,P=0.204,PR=0.000,SP=0.117
D=2.500,A=0.907,W=0.907,AK=104956,AKZ=1561,B=116.7,C=1.7,R=0,P=0.219,PR=0.000,SP=0.114
D=2.525,A=0.917,W=0.917,AK=104956,AKZ=1563,B=115.6,C=1.7,R=0,P=0.202,PR=0.000,SP=0.116
D=2.550,A=0.887,W=0.887,AK=104956,AKZ=1564,B=117.8,C=1.7,R=0,P=0.188,PR=0.000,SP=0.123
D=2.575,A=0.867,W=0.867,AK=104956,AKZ=1566,B=116.4,C=1.7,R=0,P=0.213,PR=0.000,SP=0.099
D=2.600,A=0.737,W=0.737,AK=104956,AKZ=1568,B=117.6,C=1.7,R=0,P=0.204,PR=0.000,SP=0.112
D=2.625,A=0.607,W=0.607,AK=104957,AKZ=1570,B=118.1,C=1.7,R=0,P=0.224,PR=0.000,SP=0.130
D=2.650,A=0.587,W=0.587,AK=104957,AKZ=1572,B=117.1,C=1.7,R=0,P=0.222,PR=0.000,SP=0.130
D=2.675,A=0.507,W=0.507,AK=104957,AKZ=1574,B=117.5,C=1.7,R=0,P=0.204,PR=0.000,SP=0.128
D=2.700,A=0.507,W=0.507,AK=104957,AKZ=1576,B=117.6,C=1.7,R=0,P=0.204,PR=0.000,SP=0.123
D=2.725,A=0.497,W=0.497,AK=104957,AKZ=1578,B=117.1,C=1.7,R=0,P=0.224,PR=0.000,SP=0.123
D=2.750,A=0.537,W=0.537,AK=104958,AKZ=1580,B=117.1,C=1.7,R=0,P=0.215,PR=0.000,SP=0.119
D=2.775,A=0.587,W=0.587,AK=104958,AKZ=1582,B=117.1,C=1.7,R=0,P=0.219,PR=0.000,SP=0.134
D=2.800,A=0.607,W=0.607,AK=104958,AKZ=1584,B=119.0,C=1.7,R=0,P=0.237,PR=0.000,SP=0.137
D=2.825,A=0.667,W=0.667,AK=104958,AKZ=1586,B=118.5,C=1.7,R=0,P=0.226,PR=0.000,SP=0.099
D=2.850,A=0.827,W=0.827,AK=104959,AKZ=1588,B=117.6,C=1.7,R=0,P=0.197,PR=0.000,SP=0.092
D=2.875,A=1.267,W=1.267,AK=104959,AKZ=1590,B=116.9,C=1.7,R=0,P=0.242,PR=0.000,SP=0.141
D=2.900,A=1.227,W=1.227,AK=104959,AKZ=1592,B=118.2,C=1.7,R=0,P=0.255,PR=0.000,SP=0.132
D=2.925,A=1.147,W=1.147,AK=104959,AKZ=1594,B=119.4,C=1.7,R=0,P=0.217,PR=0.000,SP=0.123
D=2.950,A=1.237,W=1.237,AK=104959,AKZ=1596,B=119.4,C=1.7,R=0,P=0.242,PR=0.000,SP=0.132
D=2.975,A=1.367,W=1.367,AK=105000,AKZ=1597,B=120.9,C=1.7,R=0,P=0.217,PR=0.000,SP=0.110
D=3.000,A=1.237,W=1.237,AK=105000,AKZ=1599,B=121.8,C=1.6,R=0,P=0.217,PR=0.000,SP=0.126
D=3.025,A=1.067,W=1.067,AK=105000,AKZ=1601,B=122.0,C=1.6,R=0,P=0.229,PR=0.000,SP=0.117
D=3.050,A=0.907,W=0.907,AK=105000,AKZ=1603,B=122.1,C=1.6,R=0,P=0.224,PR=0.000,SP=0.090
D=3.075,A=0.907,W=0.907,AK=105000,AKZ=1605,B=122.4,C=1.6,R=0,P=0.242,PR=0.000,SP=0.119
D=3.100,A=1.137,W=1.137,AK=105001,AKZ=1607,B=122.4,C=1.6,R=0,P=0.204,PR=0.000,SP=0.098
D=3.125,A=1.047,W=1.047,AK=105001,AKZ=1609,B=123.8,C=1.6,R=0,P=0.242,PR=0.000,SP=0.139
D=3.150,A=0.947,W=0.947,AK=105001,AKZ=1611,B=123.0,C=1.6,R=0,P=0.235,PR=0.000,SP=0.135
D=3.175,A=0.877,W=0.877,AK=105001,AKZ=1613,B=123.4,C=1.6,R=0,P=0.249,PR=0.000,SP=0.121
D=3.200,A=0.867,W=0.867,AK=105002,AKZ=1615,B=123.0,C=1.6,R=0,P=0.257,PR=0.000,SP=0.148
D=3.225,A=1.227,W=1.227,AK=105002,AKZ=1617,B=120.0,C=1.7,R=0,P=0.258,PR=0.000,SP=0.145
D=3.250,A=2.547,W=2.547,AK=105002,AKZ=1619,B=91.8,C=2.2,R=0,P=0.238,PR=0.000,SP=0.085
D=3.275,A=7.127,W=7.127,AK=105002,AKZ=1623,B=80.3,C=2.5,R=0,P=0.233,PR=0.000,SP=0.078
D=3.300,A=2.217,W=2.217,AK=105115,AKZ=2292,B=0.3,C=594.7,R=60,P=0.690,PR=0.000,SP=0.086
D=3.325,A=3.387,W=3.387,AK=105116,AKZ=2294,B=92.3,C=2.2,R=64,P=0.645,PR=0.000,SP=0.033
D=3.350,A=7.197,W=7.197,AK=105116,AKZ=2298,B=69.7,C=2.9,R=61,P=0.557,PR=0.000,SP=0.084
D=3.375,A=3.927,W=3.927,AK=105119,AKZ=2327,B=7.5,C=26.8,R=61,P=0.582,PR=0.000,SP=11.498
D=3.400,A=3.597,W=3.597,AK=105121,AKZ=2340,B=16.5,C=12.1,R=61,P=0.674,PR=0.000,SP=11.406
D=3.425,A=4.237,W=4.237,AK=105122,AKZ=2348,B=27.6,C=7.2,R=61,P=0.749,PR=0.000,SP=10.757
D=3.450,A=3.087,W=3.087,AK=105123,AKZ=2358,B=28.1,C=7.1,R=61,P=0.520,PR=0.000,SP=10.784
D=3.475,A=3.187,W=3.187,AK=105123,AKZ=2363,B=63.7,C=3.1,R=61,P=0.424,PR=0.000,SP=9.986
D=3.500,A=1.517,W=1.517,AK=105123,AKZ=2365,B=62.5,C=3.2,R=62,P=0.627,PR=0.000,SP=9.458
D=3.525,A=1.907,W=1.907,AK=105124,AKZ=2369,B=63.7,C=3.1,R=61,P=0.697,PR=0.000,SP=10.023
D=3.550,A=2.867,W=2.867,AK=105147,AKZ=2580,B=35.9,C=5.6,R=62,P=0.608,PR=0.000,SP=9.085
D=3.575,A=5.477,W=5.477,AK=105147,AKZ=2582,B=127.4,C=1.6,R=61,P=0.621,PR=0.000,SP=6.203
D=3.600,A=5.177,W=5.177,AK=105147,AKZ=2584,B=118.5,C=1.7,R=61,P=0.762,PR=0.000,SP=0.081
D=3.625,A=4.237,W=4.237,AK=105148,AKZ=2588,B=66.2,C=3.0,R=62,P=0.729,PR=0.000,SP=5.420
D=3.650,A=5.177,W=5.177,AK=105148,AKZ=2590,B=79.2,C=2.5,R=62,P=0.672,PR=0.000,SP=8.116
D=3.675,A=7.327,W=7.327,AK=105148,AKZ=2594,B=56.6,C=3.5,R=61,P=0.708,PR=0.000,SP=9.920
D=3.700,A=3.157,W=3.157,AK=105150,AKZ=2608,B=15.5,C=12.9,R=61,P=0.654,PR=0.000,SP=11.677
D=3.725,A=1.587,W=1.587,AK=105151,AKZ=2617,B=25.1,C=8.0,R=62,P=0.631,PR=0.000,SP=11.034
D=3.750,A=5.047,W=5.047,AK=105152,AKZ=2623,B=46.2,C=4.3,R=61,P=0.686,PR=0.000,SP=9.716
D=3.775,A=1.207,W=1.207,AK=105152,AKZ=2629,B=41.5,C=4.8,R=61,P=0.610,PR=0.000,SP=10.760
D=3.800,A=1.397,W=1.397,AK=105152,AKZ=2631,B=122.6,C=1.6,R=62,P=0.482,PR=0.000,SP=8.492
